,track_uri,artist_uri,genres
207,0UDCfleTgwihlnOUxbzokR,3Nrfpe0tUJi4K4DXYWgMUX,"['k-pop', 'k-pop boy group', 'pop']"
208,6fhWH0doyn7cSOgjgsuLPh,1BhWF9W2PngtPSyobKg0rP,"['dance pop', 'pop', 'post-teen pop']"
209,7lgrRhx7ExnO4WBofwYeTR,0SA2I3s4t7hmv1XVvky9Po,['korean singer-songwriter']
210,1hwdPQtFHISvZ9SXMkNrIK,1GlMjIezcLwV3OFlX0uXOv,"['movie tunes', 'tagalog worship']"
211,0GU5GuJQQEnnREO2FxnVPT,2KC9Qb60EaY0kW4eH68vr3,"['k-pop', 'k-pop girl group']"
212,1fzAuUVbzlhZ1lJAx9PtY6,06HL4z0CvFAxyc27GXpf02,['pop']
213,6qAzAmPBUpGrk7XADZHR5k,5qRSs6mvI17zrkJpOHkCoM,"['k-pop', 'k-pop boy group']"
214,23gGonlrKaNDwklb8vYTTX,7k73EtZwoPs516ZxE72KsO,"['j-pop', 'j-rock', 'japanese emo']"
215,2bk43y1inDfHx8fFdXar3l,2CQZr2RPZmrcvDnaod1ldC,['k-pop']
216,2ayIgfvWo3SfYP2pVOr4pC,3eVa5w3URK5duf6eyVDbu9,['k-pop']
217,3cl6BsTDeeGRbgug5TXrvg,5TnQc2N1iKlFjYD7CPGvFc,"['k-pop', 'k-pop boy group']"
218,13Z3uZXTFpbLBZ8R1rTUKO,0MeLMJJcouYXCymQSHPn8g,"['ambient worship', 'chamber pop']"
219,2Mfv5HaqnI18Q9JRv9hqnn,26VFTg2z8YR0cCuwLzESi2,"['electropop', 'etherpop', 'indie poptimism', 'pop']"
